"id","industry_category_key","url","message","type","file_title","order","date_last_modified","language","language_code"
2,"libraries","https://library.ca.gov/Content/pdf/services/toLibraries/COVIDGuidanceLibraries.pdf","","additional-resource","Restoring in-person services",1,"2021-03-01T22:34:00.000Z","English","en"
20,"libraries","https://www.library.ca.gov/covid-19","","additional-resource","State Library's COVID-19 website",2,"2021-03-01T22:34:00.000Z","English","en"
21,"libraries","https://www.cla-net.org/page/7-1","","additional-resource","Resources for public libraries",3,"2021-03-01T22:34:00.000Z","English","en"
3,"childcare","https://www.cdss.ca.gov/Portals/9/CCLD/PINs/2020/CCP/PIN-20-22-CCP.pdf","","additional-resource","FAQs about waivers and cohorts for childcare",1,"2021-03-01T22:34:00.000Z","English","en"
12,"childcare","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/contact-management-childcare-facilities.aspx","","additional-resource","COVID-19 case and contact management for childcare",2,"2021-03-01T22:34:00.000Z","English","en"
6,"agriculture","https://files.covid19.ca.gov/pdf/flyer-agriculture-shared-transportation--en.pdf","","additional-resource","Shared transportation in agriculture",1,"2021-03-01T22:34:00.000Z","English","en"
7,"family-entertainment","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Outdoor%20Playgrounds%20and%20other%20Outdoor%20Recreational%20Facilities.aspx","","additional-resource","Requirements for outdoor playgrounds",1,"2021-03-01T22:34:00.000Z","English","en"
8,"transit-rail","https://files.covid19.ca.gov/pdf/flyer-agriculture-shared-transportation--en.pdf","","additional-resource","Shared transportation in agriculture",1,"2021-03-01T22:34:00.000Z","English","en"
9,"cohorts","https://www.cdss.ca.gov/Portals/9/CCLD/PINs/2020/CCP/PIN-20-22-CCP.pdf","","additional-resource","FAQs about waivers and cohorts for childcare",3,"2021-03-01T22:34:00.000Z","English","en"
19,"cohorts","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/contact-management-childcare-facilities.aspx","","additional-resource","COVID-19 case and contact management for childcare",4,"2021-03-01T22:34:00.000Z","English","en"
10,"youth-sports","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Youth-Sports-FAQ.aspx","","additional-resource","Questions and answers about youth and adult recreational sports",2,"2021-03-01T22:35:00.000Z","English","en"
11,"campgrounds-outdoor-recreation","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Outdoor%20Playgrounds%20and%20other%20Outdoor%20Recreational%20Facilities.aspx","","additional-resource","Requirements for outdoor playgrounds",1,"2021-03-01T22:35:00.000Z","English","en"
23,"youth-sports","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/outdoor-indoor-recreational-sports.aspx","","guidance","Guidance for youth and recreational adult sports (indoor and outdoor)",1,"2021-03-01T22:34:00.000Z","English","en"
27,"cohorts","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/small-groups-child-youth.aspx","","guidance","Guidance related to cohorts",1,"2021-03-01T22:34:00.000Z","English","en"
28,"cohorts","https://files.covid19.ca.gov/pdf/guidance-schools-cohort-FAQ--en.pdf","","additional-resource","Providing targeted, specialized support and services at school",2,"2021-03-01T22:34:00.000Z","English","en"
32,"youth-sports","","Example content 1
","additional-text","",6,"2021-03-01T22:35:00.000Z","English","en"
33,"youth-sports","","Example <a href=""#"">content</a> with <strong>bold</strong> 2.
","additional-text","",7,"2021-03-01T22:35:00.000Z","English","en"
35,"schools","https://www.cdph.ca.gov/Programs/CID/DCDC/CDPH%20Document%20Library/COVID-19/Consolidated_Schools_Guidance.pdf","","guidance","K-12 schools reopening framework and guidance (PDF)",1,"2021-03-01T22:34:00.000Z","English","en"
36,"schools","https://schools.covid19.ca.gov/","Visit [Safe Schools for All](https://schools.covid19.ca.gov/) for the latest information and resources about COVID-19 and schools.
","additional-resource","Safe Schools for All",3,"2021-03-01T22:34:00.000Z","English","en"
13,"schools","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Schools-FAQ.aspx","","additional-resource","questions and answers",2,"2021-03-01T22:34:00.000Z","English","en"
39,"general-indoors","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Interim-Guidance-for-Ventilation-Filtration-and-Air-Quality-in-Indoor-Environments.aspx","","additional-resource","CDPH interim guidance for ventilation, filtration, and air quality in indoor environments",10,"2021-03-01T23:00:00.000Z","English","en"
40,"general-outdoors","https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/Use-of-Temporary-Structures-for-Outdoor-Business-Operations.aspx","","additional-resource","CDPH guidance for the use of temporary structures for outdoor operations",9,"2021-03-02T00:50:00.000Z","English","en"