"activity_reference_key","activity_search_autocomplete","override_industry_guidance_label","activity_key","4 - WIDESPREAD","3 - SUBSTANTIAL","2 - MODERATE","1 - MINIMAL","RSHO","last_modified","primary_guidance","secondary_guidance"
"agriculture","Agriculture and livestock","","agriculture","","","","","","2021-01-15T19:44:00.000Z","agriculture",""
"amusement-theme-parks","Amusement parks and theme parks","","amusement-theme-parks","","","","","","2021-01-15T19:44:00.000Z","amusement-theme-parks",""
"appliance-repair-shops","Appliance repair shops","","appliance-repair-shops","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"aquariums","Aquariums","","aquariums","Can open outdoors only with modifications","Can open indoors with modifications - Indoor activities max 25% capacity","Can open indoors with modifications - Indoor activities max 50% capacity","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","zoos-museums",""
"auto-dealerships","Auto dealerships","","auto-dealerships","","","","","","2021-01-15T09:40:00.000Z","auto-dealerships",""
"auto-repair-shops","Auto repair shops","","auto-repair-shops","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"banks-credit-unions","Banks and credit unions","Banks and credit unions","banks-credit-unions","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","critical-infrastructure",""
"bars","Bars, breweries, and distilleries","","bars","","","","","","2021-01-15T09:40:00.000Z","bars",""
"bars-no-meals-provided","Bars (where no meals provided)","","bars-no-meals-provided","Closed","Closed","Can open outdoors only with modifications","Can open indoors with modifications  - Max 50% capacity","Closed for on-site consumption.","2021-01-15T09:40:00.000Z","bars",""
"body-waxing-studios","Body waxing studios","Personal care services","body-waxing-studios","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","expanded-personal-care-services",""
"bookstores","Bookstores","Retailers","bookstores","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"bowling-alleys","Bowling alleys","","bowling-alleys","Closed","Closed","Can open indoors for naturally distanced activities, with modifications - Max 25% capacity","Can open indoors for activities with increased risk of proximity and mixing, with modifications - Max 50% capacity","Closed","2021-01-15T09:40:00.000Z","family-entertainment",""
"breweries-no-meals-provided","Breweries (where no meals provided)","","breweries-no-meals-provided","Closed","Closed","Can open outdoors only with modifications","Can open indoors with modifications  - Max 50% capacity","Closed for on-site consumption. May continue with production, manufacturing, distribution, and retail sale for off-site consumption.","2021-01-15T23:52:00.000Z","bars",""
"campgrounds","Campgrounds","","campgrounds","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed unless used for COVID-19 mitigation and containment measures, treatment measures, providing accommodation for essential workers or those displaced as a result of fire or other emergency, or providing housing solutions, including measures to protect homeless populations. ","2021-01-15T09:40:00.000Z","campgrounds-outdoor-recreation",""
"campgrounds-outdoor-recreation","Outdoor recreation, including campgrounds,playgrounds, and ski resorts","Outdoor recreation, including campgrounds, playgrounds, and ski resorts","campgrounds-outdoor-recreation","","","","","","2021-01-15T09:40:00.000Z","campgrounds-outdoor-recreation",""
"cardrooms","Cardrooms","","cardrooms","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open indoors with modifications - Max 25% capacity","Can open indoors with modifications - Max 50% capacity","Closed","2021-01-15T09:40:00.000Z","cardrooms-racetracks, outdoor-cardrooms",""
"cardrooms-racetracks","Satellite wagering sites","","cardrooms-racetracks","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open indoors with modifications - Max 25% capacity","Can open indoors with modifications - Max 50% capacity","Closed","2021-01-15T09:40:00.000Z","cardrooms-racetracks",""
"carwashes","Carwashes","","carwashes","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed","2021-01-15T09:40:00.000Z","limited-services",""
"childcare","Childcare","","childcare","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","childcare, cohorts",""
"churches","Churches","","churches","Can open outdoors only with modifications","Can open indoors with modifications  - Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications  - Max 50% capacity or 200 people, whichever is fewer ","Can open indoors with modifications  - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","places-of-worship",""
"clothing-shoe-stores","Clothing and shoe stores","","clothing-shoe-stores","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"cohorts","Cohorts for children and youth in supervised settings","","cohorts","","","","","","2021-01-15T09:40:00.000Z","cohorts",""
"communications","Communications infrastructure","","communications","","","","","","2021-01-15T09:40:00.000Z","communications",""
"concert-venues","Concert venues","","concert-venues","Closed","Closed","Closed","Closed","Closed","2021-01-15T09:40:00.000Z","live-performances",""
"construction","Construction","","construction","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","construction",""
"convenience-stores","Convenience stores","","convenience-stores","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"convention-centers","Convention centers","Convention centers and professional hosted events","convention-centers","Closed","Closed","Closed","Closed","Closed","2021-01-15T09:40:00.000Z","convention-centers",""
"cultural-ceremonies","Cultural ceremonies","","cultural-ceremonies","Can open outdoors only with modifications","Can open indoors with modifications  - Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications  - Max 50% capacity or 200 people, whichever is fewer ","Can open indoors with modifications  - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","places-of-worship",""
"dance-studios","Dance studios","","dance-studios","Can open outdoors only with modifications","Can open indoors with modifications - Max 10% capacity","Can open indoors with modifications - Max 25% capacity - +Indoor pools","Can open indoors with modifications  - +Saunas - +Spas - +Steam rooms - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","fitness",""
"day-camps","Day camps","","day-camps","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","day-camps, cohorts",""
"delivery-services","Delivery services","","delivery-services","","","","","","2021-01-15T09:40:00.000Z","delivery-services",""
"distilleries-no-meals-provided","Distilleries (where no meals provided)","","distilleries-no-meals-provided","Closed","Closed","Can open outdoors only with modifications","Can open indoors with modifications  - Max 50% capacity","Closed for on-site consumption. May continue with production, manufacturing, distribution, and retail sale for off-site consumption.","2021-01-15T09:40:00.000Z","bars",""
"doctors-dentists","Doctors and dentists","Critical infrastructure","doctors-dentists","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","critical-infrastructure",""
"dog-walkers","Dog walkers","","dog-walkers","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed","2021-01-15T09:40:00.000Z","limited-services",""
"door-to-door-sales","Door-to-door sales and services","","door-to-door-sales","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed","2021-01-15T09:40:00.000Z","limited-services",""
"drive-in-theaters","Drive-in theaters","","drive-in-theaters","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","movie-theaters",""
"dry-cleaners","Dry cleaners","","dry-cleaners","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"electricians","Electricians","","electricians","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"electrologists","Electrologists","Personal care services","electrologists","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","expanded-personal-care-services",""
"energy","Energy and utilities","","energy","","","","","","2021-01-15T09:40:00.000Z","energy",""
"estheticians","Estheticians","Personal care services","estheticians","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed except for physician-ordered electrology services","2021-01-15T09:40:00.000Z","expanded-personal-care-services",""
"family-entertainment","Family entertainment centers","","family-entertainment","Can open outdoors only with modifications - Kart racing - Mini-golf - Batting cages","Can open outdoors only with modifications - Kart racing - Mini-golf - Batting cages","Can open indoors for naturally distanced activities, with modifications - Max 25% capacity - Bowling alleys - Escape rooms","Can open indoors for activities with increased risk of proximity and mixing, with modifications - Max 50% capacity - Arcade games - Ice and roller skating - Indoor playgrounds","Closed","2021-01-15T09:40:00.000Z","family-entertainment",""
"farmers-markets","Farmers markets","Retailers","farmers-markets","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","retail",""
"festivals","Festivals","","festivals","Closed","Closed","Closed","Closed","Closed","2021-01-15T09:40:00.000Z","festivals",""
"film-tv","Film and TV production","","film-tv","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","music-tv-film",""
"fire-stations","Fire stations","Critical infrastructure","fire-stations","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","critical-infrastructure",""
"fitness","Fitness","Gyms and fitness centers","fitness","","","","","","2021-01-15T09:40:00.000Z","fitness",""
"florists","Florists","","florists","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"food-banks","Food banks","","food-banks","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","food-banks",""
"food-packing","Food packing","","food-packing","","","","","","2021-01-15T09:40:00.000Z","food-packing",""
"gas-stations","Gas stations","","gas-stations","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","retail",""
"gatherings-holidays","Gatherings and Holidays","","gatherings-holidays","","","","","","2021-01-15T09:40:00.000Z","gatherings-holidays",""
"government-services","Government services","","government-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","government-services",""
"grocery-stores","Grocery stores","","grocery-stores","Can open with modifications  - Max 50% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 35% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"gyms-fitness-centers","Gyms and fitness centers","","gyms-fitness-centers","Can open outdoors only with modifications","Can open indoors with modifications - Max 10% capacity - +Climbing walls","Can open indoors with modifications - Max 25% capacity - +Indoor pools","Can open indoors with modifications  - +Saunas - +Spas - +Steam rooms - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","fitness",""
"hair-salons","Hair salons and barbershops","","hair-salons","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","hair-salons",""
"handy-persons-general-contractors","Handypersons/general contractors","","handy-persons-general-contractors","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"higher-education","Higher education institutions","","higher-education","Closed for indoor lectures and student gatherings. Some courses conducted in certain indoor settings, like labs and studio arts, may be open.","Capacity for indoor lectures and student gatherings must be limited to 25% or 100 people, whichever is less. Some courses conducted in certain indoor settings, like labs and studio arts, may be open at regular capacity. Conduct student activities virtually when possible.","Capacity for indoor lectures and student gatherings must be limited to 50% or 200 people, whichever is less. Some courses conducted in certain indoor settings, like labs and studio arts, may be open at regular capacity. Conduct student activities virtually when possible.","Capacity for indoor lectures and student gatherings must be limited to 50%. Some courses conducted in certain indoor settings, like labs and studio arts, may be open at regular capacity. Conduct student activities virtually when possible."," ","2021-01-15T09:40:00.000Z","higher-education",""
"home-furnishings","Home and furnishing stores","","home-furnishings","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"hospitals-urgent-care","Hospitals and urgent cares","Critical infrastructure","hospitals-urgent-care","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","critical-infrastructure",""
"hotels-lodging-rentals","Hotels, lodging, and short-term lodging rentals","","hotels-lodging-rentals","","","","","","2021-01-15T19:44:00.000Z","hotels-lodging-rentals",""
"hvac-services","HVAC services","","hvac-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"indoor-playgrounds","Indoor playgrounds (bounce centers/ball pits/laser tag)","","indoor-playgrounds","Closed","Closed","Can open indoors for naturally distanced activities, with modifications - Max 25% capacity - Bowling alleys - Climbing walls","Can open indoors for activities with increased risk of proximity and mixing, with modifications - Max 50% capacity - Arcade games - Ice and roller skating","Closed","2021-01-15T09:40:00.000Z","family-entertainment",""
"jewelry-stores","Jewelry stores","","jewelry-stores","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"landscapers","Landscapers","","landscapers","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed unless for erosion control and fire debris management","2021-01-15T19:44:00.000Z","limited-services",""
"laundromats-laundry-services","Laundromats and laundry services","","laundromats-laundry-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"libraries","Libraries","","libraries","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail, libraries",""
"life-sciences","Life sciences","","life-sciences","","","","","","2021-01-15T09:40:00.000Z","life-sciences",""
