"activity_reference_key","activity_search_autocomplete","override_industry_guidance_label","activity_key","4 - WIDESPREAD","3 - SUBSTANTIAL","2 - MODERATE","1 - MINIMAL","RSHO","last_modified","primary_guidance","secondary_guidance"
"limited-services","Residential and janitorial cleaning services","Residential and janitorial cleaning services","limited-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"live-theater","Live theater","","live-theater","Closed","Closed","Closed","Closed","Closed","2021-01-15T09:40:00.000Z","live-performances",""
"logistics-warehousing","Logistics and warehousing facilities","","logistics-warehousing","","","","","","2021-01-15T09:40:00.000Z","logistics-warehousing",""
"manufacturing","Manufacturing","","manufacturing","","","","","","2021-01-15T09:40:00.000Z","manufacturing",""
"massage-therapy","Massage therapy studios","Personal care services","massage-therapy","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","expanded-personal-care-services",""
"mining-logging","Mining and logging","","mining-logging","","","","","","2021-01-15T09:40:00.000Z","mining-logging",""
"mosques","Mosques","","mosques","Can open outdoors only with modifications","Can open indoors with modifications  - Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications  - Max 50% capacity or 200 people, whichever is fewer ","Can open indoors with modifications  - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","places-of-worship",""
"movie-theaters","Movie theaters","","movie-theaters","Can open outdoors only with modifications","Can open indoors with modifications  - Max 25% capacity or 100 people, whichever is fewer","Canpen indoors with modifications  - Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications  - Max 50% capacity","Closed","2021-01-15T09:40:00.000Z","movie-theaters",""
"museums","Museums","","museums","Can open outdoors only with modifications","Can open indoors with modifications - Indoor activities max 25% capacity","Can open indoors with modifications - Indoor activities max 50% capacity","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","zoos-museums",""
"music-production","Music production","","music-production","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","music-tv-film",""
"music-tv-film","Music, film, and TV production","","music-tv-film","","","","","","2021-01-15T09:40:00.000Z","music-tv-film",""
"nail-salons","Nail salons","Personal care services","nail-salons","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","expanded-personal-care-services",""
"nightclubs","Nightclubs","Convention centers and professional hosted events","nightclubs","Closed","Closed","Closed","Closed","Closed","2021-01-15T09:40:00.000Z","convention-centers",""
"office-workspaces","Office workspaces","Office workspaces","office-workspaces","","","","","","2021-01-15T09:40:00.000Z","office-workspaces",""
"offices-non-essential-businesses","Offices (non-essential businesses)","Office workspaces","offices-non-essential-businesses","Can work remotely","Can work remotely","Can open indoors with modifications - Encourage working remotely","Can open indoors with modifications - Encourage working remotely","Can work remotely","2021-01-15T09:40:00.000Z","office-workspaces",""
"outdoor-cardrooms","Outdoor cardrooms and satellite wagering","Cardrooms and racetracks","outdoor-cardrooms","","","","","","2021-01-15T09:40:00.000Z","cardrooms-racetracks, outdoor-cardrooms",""
"outdoor-live-professional-sports","Racetracks","Professional sports","outdoor-live-professional-sports","Can open with modifications - No live audience","Can open with modifications - No live audience","Can open with modifications - Permanent venues with live audiences outdoors only - Max 20% capacity - Regional attendees only (within 120 miles) - Reservations required - Assigned seating only - In-seat concessions only (no concourse sales)","Can open with modifications - Permanent venues with live audiences outdoors only - Max 25% capacity - Regional attendees only (within 120 miles) - Reservations required - Assigned seating only - In-seat concessions only (no concourse sales)","Can open with modifications - No live audience","2021-01-15T09:40:00.000Z","outdoor-live-professional-sports, cardrooms-racetracks",""
"outdoor-live-professional-sports","Outdoor live professional sports","Outdoor live professional sports","outdoor-live-professional-sports","","","","","","2021-01-15T09:40:00.000Z","outdoor-live-professional-sports",""
"outdoor-playgrounds","Outdoor playgrounds","Outdoor recreation, including campgrounds, playgrounds, and ski resorts","outdoor-playgrounds","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","campgrounds-outdoor-recreation",""
"outdoor-recreation","Outdoor recreation","Outdoor recreation","outdoor-recreation","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications - No food or beverages sold for onsite consumption ","2021-01-15T09:40:00.000Z","campgrounds-outdoor-recreation",""
"pet-groomers","Pet groomers","Limited services","pet-groomers","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Closed","2021-01-15T09:40:00.000Z","limited-services",""
"pharmacies","Pharmacies","Retail","pharmacies","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","retail",""
"piercing-shops","Piercing shops","Personal care services","piercing-shops","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","expanded-personal-care-services",""
"places-of-worship","Places of worship","Places of worship and cultural ceremonies","places-of-worship","Can open outdoors only with modifications","Can open indoors with modifications  - Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications  - Max 50% capacity or 200 people, whichever is fewer ","Can open indoors with modifications  - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","places-of-worship",""
"plumbing-services","Plumbing services","Limited services","plumbing-services","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","limited-services",""
"police-stations","Police stations","Police stations","police-stations","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","critical-infrastructure",""
"ports","Ports","","ports","","","","","","2021-01-15T09:40:00.000Z","ports",""
"professional-sports","Professional sports","","professional-sports","Can open with modifications - No live audience","Can open with modifications - No live audience","Can open with modifications - Permanent venues with live audiences outdoors only - Max 20% capacity - Regional attendees only (within 120 miles) - Reservations required - Assigned seating only - In-seat concessions only (no concourse sales)","Can open with modifications - Permanent venues with live audiences outdoors only - Max 25% capacity - Regional attendees only (within 120 miles) - Reservations required - Assigned seating only - In-seat concessions only (no concourse sales)","Can open with modifications - No live audience","2021-01-15T09:40:00.000Z","professional-sports, outdoor-live-professional-sports",""
"real-estate","Real estate transactions","","real-estate","","","","","","2021-01-15T09:40:00.000Z","real-estate",""
"restaurants-bars-wineries","Restaurants, wineries, and bars","Restaurants","restaurants-bars-wineries","","","","","","2021-01-15T19:44:00.000Z","restaurants-bars-wineries, bars, wineries",""
"retail","Retail","","retail","","","","","","2021-01-15T09:40:00.000Z","retail",""
"saunas-steam-rooms","Saunas and steam rooms","Gyms and fitness, Hotels, lodging, and short-term lodging rentals, and Outdoor recreation, including campgrounds, playgrounds, and ski resorts","saunas-steam-rooms","Closed","Closed","Closed","Can open indoors with modifications  - +Saunas - +Spas - +Steam rooms - Max 50% capacity","Closed","2021-01-15T09:40:00.000Z","fitness, hotels-lodging-rentals, campgrounds-outdoor-recreation",""
"schools","Schools","","schools","-","-","-","-","-","2021-01-16T00:55:00.000Z","schools, cohorts, youth-sports",""
"shopping-centers","Shopping centers","","shopping-centers","Can open indoors with modifications - Max 25% capacity - Closed common areas - Closed food courts","Can open indoors with modifications - Max 50% capacity - Closed common areas - Reduced capacity food courts (see Restaurants)","Can open indoors with modifications - Closed common areas - Reduced capacity food courts (see Restaurants)","Can open with modifications - Reduced capacity food courts (see Restaurants)","Can open indoors with modifications - Max 20% capacity - Closed common areas - Closed food courts","2021-01-15T09:40:00.000Z","shopping-centers",""
"shopping-malls","Shopping malls","","shopping-malls","Can open indoors with modifications - Max 25% capacity - Closed common areas - Closed food courts","Can open indoors with modifications - Max 50% capacity - Closed common areas - Reduced capacity food courts (see Restaurants)","Can open indoors with modifications - Closed common areas - Reduced capacity food courts (see Restaurants)","Can open with modifications - Reduced capacity food courts (see Restaurants)","Can open indoors with modifications - Max 20% capacity - Closed common areas - Closed food courts","2021-01-15T09:40:00.000Z","shopping-centers",""
"short-term-lodging-rentals","Short-term lodging rentals","Hotels, lodging, and short-term lodging rentals","short-term-lodging-rentals","Can open with modifications","Can open with modifications - +Fitness centers (+10%)","Can open with modifications - +Fitness centers (+25%) - +Indoor pools","Can open with modifications - +Fitness Centers (50%) - +Spa facilities, etc.","Closed for in-state reservations unless used for COVID-19 mitigation and containment measures, treatment measures, accommodation for essential workers or those displaced as a result of fire or other emergency, or housing solutions, including measures to protect homeless populations. Open for non-essential, out-of-state reservations so long as reservation is at least the minimum time period required for quarantine.","2021-01-15T09:40:00.000Z","hotels-lodging-rentals",""
"skateparks","Skateparks","Outdoor recreation, including campgrounds, playgrounds and ski resorts","skateparks","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications  - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","campgrounds-outdoor-recreation",""
"skin-care-services","Skin care services","Personal care services","skin-care-services","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","expanded-personal-care-services",""
"small-private-gatherings","Small private gatherings","","small-private-gatherings","Are allowed outdoors only with modifications - Masks and physical distancing required - No more than 3 separate households attend (including the host's) - Gatherings should be 2 hours or less - Those with symptoms must not attend - Those at high risk of severe illness strongly encouraged not to attend - Singing, shouting, chanting, cheering, or exercising strongly discouraged","Are allowed outdoors and indoors with modifications - Masks and physical distancing required - No more than 3 separate households attend (including the host's) - Gatherings should be 2 hours or less - Those with symptoms must not attend - Those at high risk of severe illness strongly encouraged not to attend - Singing, shouting, chanting, cheering, or exercising strongly discouraged outdoors and not permitted indoors ","Are allowed outdoors and indoors with modifications - Masks and physical distancing required - No more than 3 separate households attend (including the host's) - Gatherings should be 2 hours or less - Those with symptoms must not attend - Those at high risk of severe illness strongly encouraged not to attend - Singing, shouting, chanting, cheering, or exercising strongly discouraged outdoors and not permitted indoors ","Are allowed outdoors and indoors with modifications - Masks and physical distancing required - No more than 3 separate households attend (including the host's) - Gatherings should be 2 hours or less - Those with symptoms must not attend - Those at high risk of severe illness strongly encouraged not to attend - Singing, shouting, chanting, cheering, or exercising strongly discouraged outdoors and not permitted indoors ","Closed","2021-01-15T09:40:00.000Z","gatherings-holidays",""
"sporting-goods-stores","Sporting goods stores","","sporting-goods-stores","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"state-local-government-offices","State and local government offices","","state-local-government-offices","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","office-workspaces",""
"swap-meets","Swap meets","","swap-meets","Can open with modifications - Max 25% capacity - Closed common areas - Closed food courts","Can open with modifications - Max 50% capacity - Closed common areas - Reduced capacity food courts (see Restaurants)","Can open with modifications - Closed common areas - Reduced capacity food courts (see Restaurants)","Can open with modifications - Reduced capacity food courts (see Restaurants)","Can open indoors with modifications - Max 20% capacity - Closed common areas - Closed food courts","2021-01-15T09:40:00.000Z","shopping-centers",""
"swimming-pools","Swimming pools","Gyms and fitness centers - Outdoor recreation, including campgrounds and playgrounds - Hotels and lodging","swimming-pools","Can open outdoors with modifications. Drowning prevention classes, including swim lessons with certified instructors, are permitted indoors and outdoors.","Can open outdoors with modifications. Drowning prevention classes, including swim lessons with certified instructors, are permitted indoors and outdoors.","Can open outdoors with modifications. Drowning prevention classes, including swim lessons with certified instructors, are permitted indoors and outdoors.","Can open outdoors with modifications. Drowning prevention classes, including swim lessons with certified instructors, are permitted indoors and outdoors.","Can open outdoors with modifications. Drowning prevention classes, including swim lessons with certified instructors, are permitted indoors and outdoors.","2021-01-15T20:55:00.000Z","fitness, hotels-lodging-rentals, campgrounds-outdoor-recreation, swimming-pools",""
"synagogues","Synagogues","","synagogues","Can open outdoors only with modifications","Can open indoors with modifications  - Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications  - Max 50% capacity or 200 people, whichever is fewer ","Can open indoors with modifications  - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","places-of-worship",""
"take-out-restaurants","Restaurants (take-out and delivery)","Restaurants","take-out-restaurants","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-01-15T09:40:00.000Z","restaurants-bars-wineries",""
"tattoo-parlors","Tattoo parlors","Personal care services","tattoo-parlors","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","expanded-personal-care-services",""
"temples","Temples","","temples","Can open outdoors only with modifications","Can open indoors with modifications  - Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications  - Max 50% capacity or 200 people, whichever is fewer ","Can open indoors with modifications  - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","places-of-worship",""
"toy-stores","Toy stores","Retailers","toy-stores","Can open with modifications  - Max 25% capacity","Can open with modifications  - Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications  - Max 20% capacity - No food or beverages sold for onsite consumption","2021-01-15T09:40:00.000Z","retail",""
"transit-rail","Public transit and intercity passenger rail","","transit-rail","","","","","","2021-01-15T09:40:00.000Z","transit-rail",""
"weddings","Weddings (ceremonies only)","","weddings","Outdoors only with modifications","Indoors with modifications  - Max 25% capacity or 100 people, whichever is fewer","Indoors with modifications  - Max 50% capacity or 200 people, whichever is fewer ","Indoors with modifications  - Max 50% capacity","Outdoors only with modifications","2021-01-15T09:40:00.000Z","places-of-worship",""
"wineries","Wineries and tasting rooms","","wineries","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open indoors with modifications  - Max 25% capacity indoors, or 100 people, whichever is fewer","Can open indoors with modifications  - Max 50% capacity or 200 people indoors, whichever is fewer ","Closed for on-site consumption. May continue with production, manufacturing, distribution, and retail sale for off-site consumption.","2021-01-15T09:40:00.000Z","wineries",""
"yoga-studios","Yoga studios","","yoga-studios","Can open outdoors only with modifications","Can open indoors with modifications - Max 10% capacity","Can open indoors with modifications - Max 25% capacity - +Indoor pools","Can open indoors with modifications  - +Saunas - +Spas - +Steam rooms - Max 50% capacity","Can open outdoors only with modifications","2021-01-15T09:40:00.000Z","fitness",""
"youth-sports","Youth and adult recreational sports","","youth-sports","Some outdoor low-contact sports permitted. See list.","Some outdoor moderate-contact sports permitted. See list.","Some outdoor high-contact sports allowed, and  some indoor low-contact sports permitted. See list.","Some indoor moderate-contact sports allowed, and some indoor high-contact sports permitted. See list.","Outdoor physical conditioning and practice permitted with 6 feet of physical distancing from others.","2021-01-15T23:52:00.000Z","youth-sports, cohorts",""
"zoos","Zoos","","zoos","Can open outdoors only with modifications","Can open indoors with modifications - Indoor activities max 25% capacity","Can open indoors with modifications - Indoor activities max 50% capacity","Can open indoors with modifications","Closed","2021-01-15T09:40:00.000Z","zoos-museums",""
"zoos-museums-aquariums","Museums, zoos, and aquariums","","zoos-museums-aquariums","","","","","","2021-01-15T09:40:00.000Z","zoos-museums",""