"industry_category_key","date_last_modified","language","optional_message","safer_economy_label"
"agriculture","2021-01-15T19:44:00.000Z","English","","agriculture and livestock"
"amusement-theme-parks","2021-01-15T19:44:00.000Z","English","","amusement parks and theme parks"
"auto-dealerships","2021-01-15T19:39:00.000Z","English","","auto dealerships"
"bars","2021-01-15T23:54:00.000Z","English","","bars, breweries, and distilleries"
"campgrounds-outdoor-recreation","2021-01-15T20:52:00.000Z","English","","campgrounds"
"cardrooms-racetracks","2021-01-15T19:39:00.000Z","English","","cardrooms and racetracks"
"childcare","2021-01-15T19:39:00.000Z","English","","childcare"
"cohorts","2021-01-15T19:39:00.000Z","English","","cohorts for children and youth in supervised settings"
"communications","2021-01-15T19:39:00.000Z","English","","communications infrastructure"
"construction","2021-01-15T19:39:00.000Z","English","","Construction"
"day-camps","2021-01-15T19:39:00.000Z","English","","Day camps"
"delivery-services","2021-01-15T19:39:00.000Z","English","","Delivery services"
"energy","2021-01-15T19:39:00.000Z","English","","Energy and utilities"
"expanded-personal-care-services","2021-01-15T19:39:00.000Z","English","","Expanded Personal Care Services"
"family-entertainment","2021-01-15T19:39:00.000Z","English","","Family entertainment centers"
"food-packing","2021-01-15T19:39:00.000Z","English","","Food packing"
"fitness","2021-01-15T20:52:00.000Z","English","","Gyms and fitness centers"
"hair-salons","2021-01-15T19:39:00.000Z","English","","Hair salons and barbershops"
"higher-education","2021-01-15T19:39:00.000Z","English","","Higher education"
"hotels-lodging-rentals","2021-01-15T20:52:00.000Z","English","","Hotels, lodging, and short-term lodging rentals"
"life-sciences","2021-01-15T19:39:00.000Z","English","","Life sciences"
"limited-services","2021-01-15T19:39:00.000Z","English","","Limited services"
"logistics-warehousing","2021-01-15T19:39:00.000Z","English","","Logistics and warehousing facilities"
"manufacturing","2021-01-15T19:39:00.000Z","English","","Manufacturing"
"mining-logging","2021-01-15T19:39:00.000Z","English","","Mining and logging"
"movie-theaters","2021-01-15T19:39:00.000Z","English","","Movie theaters and family entertainment centers"
"zoos-museums","2021-01-15T19:39:00.000Z","English","","Museums, zoos, and aquariums"
"music-tv-film","2021-01-15T19:39:00.000Z","English","","Music, film, and TV production"
"office-workspaces","2021-01-15T19:39:00.000Z","English","","Office workspaces"
"outdoor-cardrooms","2021-01-15T19:39:00.000Z","English","","Outdoor cardrooms"
"outdoor-live-professional-sports","2021-01-15T19:39:00.000Z","English","","Outdoor live professional sports"
"places-of-worship","2021-01-15T19:39:00.000Z","English","","Places of worship and cultural ceremonies"
"ports","2021-01-15T19:39:00.000Z","English","","Ports"
"professional-sports","2021-01-15T19:39:00.000Z","English","","Professional sports"
"transit-rail","2021-01-15T19:39:00.000Z","English","","Public transit and intercity passenger rail"
"real-estate","2021-01-15T19:39:00.000Z","English","","Real estate transactions"
"restaurants-bars-wineries","2021-01-15T19:44:00.000Z","English","","Restaurants, wineries, and bars"
"retail","2021-01-15T19:39:00.000Z","English","","Retail"
"libraries","2021-01-15T19:39:00.000Z","English","","Retail"
"schools","2021-01-15T19:44:00.000Z","English","","Schools"
"shopping-centers","2021-01-15T19:39:00.000Z","English","","Shopping centers"
"wineries","2021-01-15T19:39:00.000Z","English","","Wineries and tasting rooms"
"youth-sports","2021-01-16T00:55:00.000Z","English","","Youth and adult recreational sports"
"swimming-pools","2021-01-15T20:42:00.000Z","","Swimming pools must follow guidance for gyms and fitness centers, hotels 
and lodging, and outdoor recreation.
","Swimming Pools"